    BJP  TJP  SJP  TYV  SYT  CCT  SHH  NJH  HZH  HFH  XMS  NCG  QDK  ZZF  WHN  CSQ  GLZ  SEQ  GIW  KMM  LSO  XAY  
BJP  0   195  415  720  980  1285  1565  1305  -1  1385  2430  1735  -1  930  1525  1895  2360  4360  2510  3025  3600  1485  
TJP  195  0   465  860  910  1240  1435  1135  1735  -1  2430  -1  980  980  1565  1920  2510  -1  2545  3025  -1  1565  
SJP  415  465  0   375  1285  1635  1565  1240  1685  1190  -1  1565  930  535  1240  1635  2060  4125  2290  2855  3410  1150  
TYV  720  860  375  0   1525  1805  1805  1525  1920  1485  2545  1805  1190  -1  1525  2060  -1  -1  -1  -1  3230  910  
SYT  980  930  1285  1525  0   435  2240  1980  2400  1980  2995  2360  1735  1685  2170  2510  3025  -1  3135  3600  -1  2240  
CCT  1285  1240  1635  1805  435  0   2510  2240  2635  2240  3230  2635  2010  1980  2430  2735  3280  -1  3280  3765  -1  -1  
SHH  1565  1435  1565  1805  2240  2510  0   405  285  780  1525  1050  -1  1285  1355  1485  1920  -1  2290  2785  4025  1805  
NJH  1305  1135  1240  1525  1980  2240  405  0   625  415  -1  810  -1  930  -1  -1  1735  -1  2130  2685  3855  1525  
HZH  -1  1735  1685  1920  2400  2635  285  625  0   645  1355  860  1685  1355  1120  1285  1735  -1  2060  2635  -1  1735  
HFH  1385  1240  1190  1485  1980  2240  780  415  645  0   -1  690  1190  810  -1  -1  -1  -1  -1  -1  -1  1240  
XMS  2430  2430  -1  2545  2995  3230  1525  -1  1355  -1  0   930  -1  2010  1355  -1  -1  -1  2240  2635  -1  2290  
NCG  1735  1735  1565  1895  2360  2635  -1  810  860  690  930  0   1775  1150  515  625  1120  -1  1565  2170  -1  1525  
QDK  -1  980  930  1190  1735  2010  -1  -1  1685  1190  -1  1775  0   1355  1895  2170  2545  -1  -1  -1  -1  1895  
ZZF  930  980  625  -1  1685  1980  1285  930  1355  810  2010  1150  1355  0   750  1150  1735  3745  1920  2510  3280  690  
WHN  1525  1565  1240  1525  2170  2430  1355  -1  1120  -1  1355  515  1895  750  0   535  1150  3310  1635  2170  3720  1120  
CSQ  1895  1920  1635  2060  2510  2735  1485  -1  1285  -1  -1  625  2170  1150  -1  0   750  2930  1240  1895  3975  1525  
GLZ  2360  2510  2060  -1  3025  3280  1920  1735  1735  -1  -1  1120  2545  -1  1150  750  0   -1  -1  1525  -1  -1  
SEQ  4360  -1  4125  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  3745  3310  2930  -1  0   -1  -1  -1  -1  
GIW  2510  2545  2290  -1  3135  3350  2290  2130  2060  -1  2240  1565  -1  1920  1635  1240  -1  -1  0   860  -1  1385  
KMM  3025  3025  2855  -1  3600  3765  2785  -1  2635  -1  2635  2170  -1  2510  2170  1895  1525  -1  860  0   -1  2010  
LSO  3600  -1  3410  3230  -1  -1  4025  3855  -1  -1  -1  -1  -1  3280  3720  3975  -1  -1  -1  -1  0   2935  
XAY  1485  1635  1190  860  2240  2510  1805  1525  1735  1285  2290  1525  1895  690  1120  1525  -1  -1  1415  2010  2935  0   
