     BJP  TJP  SJP  TYV  SYT  CCT  SHH  NJH  HZH  HFH  XMS  NCG  QDK  ZZF  WHN  CSQ  GLZ  SEQ  GIW  KMM  LSO  XAY  
BJP    0    195    415    720    980    1285    1565    1305    1850    1385    2430    1735    1175    930    1525    1895    2360    4360    2510    3025    3600    1485    
TJP    195    0    465    840    910    1240    1435    1135    1720    1550    2430    1930    980    980    1565    1920    2510    4555    2545    3025    3795    1565    
SJP    415    465    0    375    1285    1635    1565    1240    1685    1190    2495    1565    930    535    1240    1635    2060    4125    2290    2855    3410    1150    
TYV    720    840    375    0    1525    1805    1805    1525    1920    1485    2545    1805    1190    910    1525    2010    2435    4500    2325    2920    3230    910    
SYT    980    930    1285    1525    0    435    2240    1980    2400    1980    2995    2360    1735    1685    2170    2510    3025    5340    3135    3600    4580    2240    
CCT    1285    1240    1635    1805    435    0    2510    2240    2635    2240    3230    2635    2010    1980    2430    2735    3280    5645    3280    3765    4885    2670    
SHH    1565    1435    1565    1805    2240    2510    0    405    285    780    1525    1050    1970    1285    1355    1485    1920    4415    2290    2785    4025    1805    
NJH    1305    1135    1240    1525    1980    2240    405    0    625    415    1740    810    1605    930    1325    1435    1735    4365    2130    2685    3855    1525    
HZH    1850    1720    1685    1920    2400    2635    285    625    0    645    1355    860    1685    1355    1120    1285    1735    4215    2060    2635    4310    1735    
HFH    1385    1240    1190    1485    1980    2240    780    415    645    0    1620    690    1190    810    1205    1315    1810    4245    2255    2860    4090    1240    
XMS    2430    2430    2495    2545    2995    3230    1525    1740    1355    1620    0    930    2705    2010    1355    1555    2050    4485    2240    2635    5075    2290    
NCG    1735    1735    1565    1895    2360    2635    1145    810    860    690    930    0    1775    1150    515    625    1120    3555    1565    2170    4235    1525    
QDK    1175    980    930    1190    1735    2010    1970    1605    1685    1190    2705    1775    0    1355    1895    2170    2545    5055    3220    3785    4340    1895    
ZZF    930    980    625    1000    1685    1980    1285    930    1355    810    2010    1150    1355    0    750    1150    1735    3745    1920    2510    3280    690    
WHN    1525    1565    1240    1525    2170    2430    1355    1325    1120    1205    1355    515    1895    750    0    535    1150    3310    1635    2170    3720    1120    
CSQ    1895    1920    1635    2010    2510    2735    1485    1435    1285    1315    1555    625    2170    1150    1140    0    750    2930    1240    1895    3975    1525    
GLZ    2360    2510    2060    2435    3025    3280    1920    1735    1735    1810    2050    1120    2545    1900    1150    750    0    3680    1990    1525    4725    2270    
SEQ    4360    4555    4125    4500    5340    5645    4415    4365    4215    4245    4485    3555    5055    3745    3310    2930    3680    0    4170    4825    6905    4430    
GIW    2510    2545    2290    2245    3135    3350    2290    2130    2060    2255    2240    1565    3220    1920    1635    1240    1990    4170    0    860    4320    1385    
KMM    3025    3025    2855    2870    3600    3765    2785    2980    2635    2860    2635    2170    3785    2510    2170    1895    1525    4825    860    0    4945    2010    
LSO    3600    3795    3410    3230    4580    4885    4025    3855    4310    4090    5075    4235    4340    3280    3720    3975    4725    6905    4350    4945    0    2935    
XAY    1485    1635    1190    860    2240    2510    1805    1525    1735    1285    2290    1525    1895    690    1120    1525    2270    4430    1415    2010    2935    0    
